编号,秀女姓名,音频路径,P(愉悦度),A(激活度),D(支配度),性格类型,外貌与穿搭,身份背景,f_centroid,f0_mean,zcr_mean,mel_mean,rms_mean,死亡结局(及悲剧主线),pinyin
1,苏婉宁,audios/1_苏婉宁.wav,0.2,-0.3,0.15,温婉娴静,清纯温婉，眉眼如画；妆容淡粉白花钿裙，简约耐看；气质干净柔和,礼部侍郎之女，家风平正，自幼知书,1747.1632,201.7264,0.0897,0.3517,0.0265,寿终正寝（62岁）；主线：以温柔外柔内刚的智慧，一生周旋于后宫风波，步步为营化解数次储位与妃嫔构陷，终成后宫唯一贵妃，安稳终老于深宫，成为后宫女子中唯一得以善终的赢家,suwanning
2,沈明珠,audios/2_沈明珠.wav,0.7,0.4,0.2,明媚灵动,明眸皓齿，英气灵动；妆容桃红柳绿，暗藏妩媚；气质娇媚明媚,将军庶女，自幼习武，舞姿翩翩显英气,1304.4533,247.5716,0.0642,1.3256,0.0562,难产去世（27岁）；主线：以将军之女的英气与明媚盛宠冠绝后宫，育有皇子后封皇贵妃，却因盛宠骄奢遭人忌惮，于生产之时被人暗害，难产而亡，至死未能再见故土与沙场,shenmingzhu
3,雪清遥,audios/3_雪清遥.wav,-0.15,-0.35,0.5,清冷孤高,清冷孤高，气质高冷；妆容月色白花朵，眼底清冽萧瑟；气质冷清绝俗,世家嫡女，自幼饱读诗书，性子清冷,1936.1012,200.2222,0.0903,0.2453,0.0276,被赐白绫（25岁）；主线：以世家嫡女的清冷风骨坚守自我，不屑于后宫争宠与权势依附，纵然得帝王倾心，也始终不肯放下孤傲与原则，最终因拒绝参与朝堂权谋之争，被帝王忌惮赐死，白绫殒命于冷宫,xueqingyao
4,傅云昭,audios/4_傅云昭.wav,-0.15,0.6,0.7,刚毅坦荡,英气逼人，眉眼凌厉；妆容赤红配古铜，冷艳凋零；气场强悍,武将之后，自幼习武，武艺超群,1778.5862,211.857,0.089,0.8816,0.0427,被毒杀（28岁）；主线：以武将之后的刚毅坦荡与高强武艺，在后宫中独树一帜，纵然因强势性格数次与帝王起冲突，仍凭复宠后掌六宫大权，最终却被卷入宫变之争，被有心人利用后毒杀身亡，至死未再披甲上阵,fuyunzhao
5,柳若棠,audios/5_柳若棠.wav,-0.65,-0.5,-0.5,柔弱忧戚,柔美可矜，柔弱无助；妆容淡粉白花钿，娇柔欲滴；气质柔弱,商贾之女，家中老来得女，从小病弱,1790.0753,186.311,0.0985,0.2351,0.0219,病逝冷宫（22岁）；主线：以商贾之女的柔弱病躯入宫，因性格温婉无争、体弱多病，终生未得帝王宠爱，被禁锢于冷宫一隅，无依无靠，最终在孤寂与病痛中郁郁而终，消散于深宫无人问津,liuruotang
6,温语微,audios/6_温语微.wav,0.3,-0.1,-0.2,温柔敏锐,温婉似水，眼神柔软；妆容淡绿花钿裙，自然素雅；气质内敛含蓄,太医之女，聪慧通透，精通医理,1922.8421,242.882,0.0973,0.5809,0.0369,寿终正寝（78岁）；主线：以太医之女的医者仁心与细腻温柔，在后宫中始终坚守本心，以医术救人无数，深得帝王信任与敬重，一路晋封至贵妃，一生未参与后宫争斗，最终于深宫安然善终，成为后宫中最受敬重的女子,wenyuwei
7,谢昭阳,audios/7_谢昭阳.wav,0.6,0.7,0.55,热烈率真,明艳动人，笑容灿烂；妆容大红花钿簇拥，张扬明媚；气质热情坦荡,将门庶女，性烈如火，自有一身傲骨,1628.8778,257.9419,0.0806,0.8373,0.0463,殉情暴君（30岁）；主线：以将门庶女的热烈率真与一身傲骨，凭真性情打动帝王，封贵妃、育有皇子，却因倾尽所有的深情被帝王辜负，在帝王驾崩后，于宫中自缢殉情，至死仍守着一腔赤诚爱意,xiezhaoyang
8,沈知微,audios/8_沈知微.wav,0.1,-0.2,0.65,沉静睿智,清冷沉静，眉眼通透；妆容浅蓝花钿，如荷般清雅；气质内敛沉稳,商贾世家之女，饱读诗书,1740.4229,187.4028,0.0948,0.2661,0.0239,被赐毒酒（29岁）；主线：以商贾世家之女的沉静睿智与满腹谋略，辅佐帝王平定权臣、稳固江山，一路晋封至贵妃，权倾后宫，却也因谋算过深、知晓朝堂秘辛，最终被帝王忌惮，赐下毒酒身亡，红颜止于权谋,shenzhiwei
9,赵怜音,audios/9_赵怜音.wav,-0.7,0.2,-0.7,怯懦不安,怯懦隐忍，仓皇瑟缩；妆容灰白淡彩，怯怯有伤；气质怯懦,匠人之女，自幼体弱受欺，性子怯懦,1965.4292,233.5355,0.1119,0.7961,0.0413,自尽冷宫（21岁）；主线：以匠人之女的怯懦隐忍入宫，因自幼体弱受欺，性格胆怯自卑，终生未得帝王半分恩宠，在冷宫中受尽冷落与欺辱，最终因绝望与无助，在冷宫偏殿自缢身亡，草草结束了卑微的一生,zhaolianyin
10,林若安,audios/10_林若安.wav,0.4,-0.4,0.4,淡然松弛,淡雅从容，眉目清冷；妆容淡雅素净，不事雕琢；气质宁静淡泊,隐居世家之女，性情淡然，不争不抢,1894.8614,176.5655,0.0979,0.3003,0.0252,寿终正寝（30岁）；主线：以隐居世家之女的淡然松弛与不争不抢，在后宫中始终坚守本心，不参与争斗、不依附权势，凭一身清雅风骨得帝王敬重，封贵妃后仍从容度日，最终避开所有后宫风波，安稳善终，成为深宫之中唯一活得通透自在的女子,linruoan
